unit	function	fuzzy	verdict	evidence
mario/Enemy/BathtubKiller	TNerveBathtubKillerChaseStraight::execute(TSpineBase<TLiveActor>*) const	95.09	UNSURE	symx loose 6 not resolved
mario/Enemy/tinkoopa	TTinKoopaPartsBase::perform(unsigned long, JDrama::TGraphics*)	95.13	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/ConsoleStr	TConsoleStr::processMiss(int)	95.25	EQUIVALENT	only stack-address args of the JUTPoint/JUTRect temporaries differ
mario/JSystem/JParticle/JPAField	JPABaseField::calcFieldFadeScale(float)	95.27	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 6 effect 0: 0x198 'lhz r0,84(r3)' vs -) not confirmed by symx
mario/Animal/Bird	TAnimalBird::doFlyToCurPathNode()	95.35	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 9 effect 8 icall args differ: f1/f2/f3/f4/f5/f6/f7/f8: 0x276c 'b) not confirmed by symx
mario/MoveBG/MapObjCorona	TBathtub::calcBathtubData()	95.43	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/igaiga	TRollEnemy::setBehavior()	95.45	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 7 effect 2 icall args differ: f1/f4: 0x44f0 'bclrl 20,lt,0' vs 0) not confirmed by symx
mario/Enemy/coasterkiller	TCoasterKiller::perform(unsigned long, JDrama::TGraphics*)	95.46	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Animal/BeeHive	TBeeHive::doWait()	95.47	EQUIVALENT	sinf(0.99f) folded vs 1.0f-0.01f computed (same float 0x3f7d70a4); retail calls TVec3::set(0,0,0), ours inlines it
mario/Enemy/bgtentacle	TBGTentacle::setAttackTarget()	95.52	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Kumokun	TKumokun::checkOnMovingWall(JGeometry::TVec3<float>*, const TBGCheckData**, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&) const	95.55	UNSURE	same out-pointer / temporary pattern as checkOnMovingFloor
mario/Enemy/BossHanachanMain	CalcRevisionPosByRotateZ(const JGeometry::TVec3<float>&, float, Vec*)	95.58	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Animal/BeeHive	TNerveBeeHiveAttack::execute(TSpineBase<TLiveActor>*) const	95.61	EQUIVALENT	retail calls TVec3::set(0,0,0) on the temporary, ours inlines it; stored values follow from it
mario/Enemy/koopajr	TKoopaJrSubmarine::launchKiller()	95.64	EQUIVALENT	table address (1 + x%4)*4 vs 4 + (x%4)*4: same value; equiv-check DIFFERENT (block 1 effect 6 address differs: 0x14b8 'lwz r29,0(r3)' vs 0x1854 'lw) not confirmed by symx
mario/Enemy/beam	TConeBeam::calcVertices(int)	95.65	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 9 effect 3 address differs: 0x9c4 'lfsx f1,r4,r0' vs 0xb40 'lfsx) not confirmed by symx
mario/Enemy/igaiga	TRollEnemy::reset()	95.69	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjCorona	TBathtub::receiveMessage(THitActor*, unsigned long)	95.73	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 11 effect 0: 0x2cb4 'lwz r0,0(r5)' vs 0x3724 'stw r4,592(r3)') not confirmed by symx
mario/Enemy/yunbo	TYumbo::shotSeeds()	95.74	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Kukku	TKukku::calcMomentum(float)	95.77	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Animal/BeeHive	TBeeHive::load(JSUMemoryInputStream&)	95.79	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Kumokun	TNerveKumokunWait::execute(TSpineBase<TLiveActor>*) const	95.88	EQUIVALENT	dot-product compare differs only in which call last wrote the stack temporaries; f1 at return is garbage (bool)
mario/MoveBG/MapObjLib	TMapObjBase::emitAndSRT(long, unsigned char, const JGeometry::TVec3<float>*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	95.93	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/enemy	TSpineEnemy::zigzagToCurPathNode(float, float, float, float)	95.96	EQUIVALENT	stores of stack-temporary components; only the temporary slot identity differs; equiv-check DIFFERENT (block 24 effect 1 call args differ: f2/f3: 0x7d4 'bl 7d4 <zigzagToCurP) not confirmed by symx
mario/MoveBG/MapObjSirena	TItemSlotDrum::generateItem()	95.98	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/JSystem/JParticle/JPAField	JPAConvectionField::affect(JPAParticle*)	95.98	EQUIVALENT	inv_sqrt is static: the r3 "argument" is garbage; equiv-check DIFFERENT (block 0 effect 1 address differs: 0x17b8 'lfs f2,40(r31)' vs 0x19dc 'l) not confirmed by symx
mario/GC2D/GCConsole2	TGCConsole2::processAppearStar(int)	95.99	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/MarioDraw	TMario::setAnimation(int, float)	96.01	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 27 effect 1 call args differ: r5: 0x3a38 'bl 3a38 <setAnimation_) not confirmed by symx
mario/Enemy/coasterkiller	TCoasterEnemy::moveCoaster()	96.04	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Animal/boid	TBoidLeader::calcBoids()	96.09	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosswanwan	MsPerpendicFootToLineR(const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	96.10	EQUIVALENT	returns TVec3 through r3; r3 at blr is garbage, the result stores are identical
mario/Enemy/amiNoko	TAmiNoko::calcRootMatrix()	96.19	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Amenbo	TNerveAmenboHitWater::execute(TSpineBase<TLiveActor>*) const	96.20	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/MapMirror	TMirrorCamera::TMirrorCamera(const char*)	96.25	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Camera/cameragc	CPolarSubCamera::calcPosAndAt_()	96.26	EQUIVALENT	retail extsh before rlwinm 1,16,30 (only low 16 bits used: same index); rest is stack-temporary identity; equiv-check DIFFERENT (block 12 branch: 0xc9c 'bc 12,eq,cb8 <calcPosAndAt___15CPolarSubCamera) not confirmed by symx
mario/Map/MapEventSink	TMapEventSinkShadowMario::loadAfter()	96.30	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 1 effect 12 icall args differ: r5: 0x2a4 'bclrl 20,lt,0' vs 0x30) not confirmed by symx
mario/MoveBG/MapObjLib	TMapObjBase::emitAndRotateScale(long, unsigned char, const JGeometry::TVec3<float>*) const	96.35	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/hx_wiper	Hxs_Logo_TexDraw	96.37	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/namekuri	NameKuriAttackCallback(J3DNode*, int)	96.40	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosstelesa	TBossTelesa::flashItem(int)	96.41	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 30 effect 0 address differs: 0x3a30 'lwz r5,0(r6)' vs 0x4670 'lw) not confirmed by symx
mario/Enemy/fireWanwan	TNerveFireWanwanFly::execute(TSpineBase<TLiveActor>*) const	96.47	EQUIVALENT	compare operands differ only in stack offsets of the emitter temporaries
mario/Enemy/TabePuku	TTPHitActor::bind()	96.48	UNSURE	mPosition.y stored from the wall-check record after isTouchedWallsAndMoveXZ (ours) vs a computed value (retail)
mario/MSound/MSModBgm	MSModBgm::modBgm(unsigned char, unsigned char)	96.51	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Kumokun	TKumokun::initAttachPlane()	96.51	EQUIVALENT	retail calls TVec3::set on a temporary, ours inlines it (setRotate fix from the <95 review is in)
mario/Enemy/hanasambo	TSamboLeaf::perform(unsigned long, JDrama::TGraphics*)	96.52	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/ModelWaterManager	TModelWaterManager::move()	96.55	UNSURE	symx loose 6 not resolved
mario/Enemy/koopajr	TKoopaJrSubmarine::makeKillerVelocity(TBathtubKiller*, JGeometry::TVec3<float>)	96.56	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
