unit	function	verdict	evidence
mario/Enemy/BathtubKiller	TNerveBathtubKillerChaseStraight::execute(TSpineBase<TLiveActor>*) const	EQUIVALENT	isAttackable inline: both compute Mario's and the killer's XZ distance to the tub and test myDist > 100 + marioDist; only the order of the two pure distance computations and their stack slots differ (instruction-identical otherwise)
mario/Enemy/Kumokun	TKumokun::checkOnMovingWall(JGeometry::TVec3<float>*, const TBGCheckData**, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&) const	BUG, fixed	no wall: retail resets the probe to param_3 + 100*normal (keeping local_3C otherwise, so y stays the ground-snapped value); ours copied the -10*normal wall probe and left y uninitialised when a wall was hit; fixed in c6e64624 (95.55 -> 99.26)
mario/Enemy/TabePuku	TTPHitActor::bind()	EQUIVALENT	tail after isTouchedWallsAndMoveXZ is instruction-identical (pos.x/z from the record, pos.y from pos, sub, stores); symx residue is the record/pos stack slots
mario/Player/ModelWaterManager	TModelWaterManager::move()	BUG, fixed	horizontal speed clamp: retail computes (size-0.1) * (vel * (1/len)), ours vel * ((size-0.1) * (1/len)) (different float rounding); fixed in 10f89468 (96.55 -> 96.59); remaining symx residue is stack-slot tracking with identical call sequences
mario/Map/MapCheck	TMapCollisionData::intersectLine(const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, bool, JGeometry::TVec3<float>*) const	EQUIVALENT	opcode-identical apart from scheduling of the int->float conversions for the grid corners; each x/z conversion pair traced through its slots stores x then z in both
mario/Enemy/bosswanwan	TNerveBWGraphWander::execute(TSpineBase<TLiveActor>*) const	EQUIVALENT	holder && speed^2 >= param: retail branches straight to the end, ours through a bool flag (blt/li vs bge/li); same outcome except for NaN speed; getEscapeDirLimited arg is the same facing temporary
mario/System/MarDirectorInitECT	TMarDirector::initECTGft(TPerformList*, TPerformList*, JDrama::TViewObjPtrListT<JDrama::TViewObj, JDrama::TViewObj>*, JDrama::TViewObjPtrListT<JDrama::TViewObj, JDrama::TViewObj>*)	BUG, fixed	per-layer loop: retail pushes drawInit, graffitiGroup and efbTex onto param_2 (r29 = r4), ours onto param_1; fixed in ddd31876 (96.81 -> 99.62)
mario/Enemy/fireWanwan	TFireWanwanTailHit::init()	EQUIVALENT	inlined TTailRubber::reset: retail reads the interpolation base from node[0].mPos, which setHeadPos has just set to the same pos ours reads; node 0 is not written in the loop
mario/JSystem/JParticle/JPADrawVisitor	JPADrawExecStripeCross::exec(const JPADrawContext*)	BUG, fixed	degenerate side vector (cross product zero): retail falls back to (1,0,0) (1.0 in the x slot), ours to (0,1,0), in both loops; fixed in 1cb01c73, symx now SAME
mario/GC2D/GCConsole2	TGCConsole2::perform(unsigned long, JDrama::TGraphics*)	BUG, fixed	when the meter interpolator is at zero retail skips both arms (bne to the join +0x12ac); ours took the else arm (unk30 = 0 and updateStarHudAutoHide); fixed in 987b7259, symx now SAME
